component,explained_variance_ratio,cumulative_explained_variance
PC1,0.10232751077342002,0.10232751077342002
PC2,0.0696993001052591,0.1720268108786791
PC3,0.056640826729358884,0.228667637608038
PC4,0.05368235365852253,0.2823499912665605
PC5,0.04821185600266254,0.33056184726922305
PC6,0.04652038387969813,0.3770822311489212
PC7,0.041488122652287386,0.4185703538012086
PC8,0.03909269145539777,0.4576630452566064
PC9,0.03859132830842091,0.49625437356502733
PC10,0.0359670654551067,0.5322214390201341
PC11,0.03536470611750964,0.5675861451376437
PC12,0.03409053525218778,0.6016766803898315
PC13,0.033623837564498195,0.6353005179543296
PC14,0.033365562834840476,0.6686660807891701
PC15,0.03194591617053499,0.7006119969597051
PC16,0.029831218935662512,0.7304432158953676
PC17,0.02913909090962896,0.7595823068049966
PC18,0.026380440710753825,0.7859627475157505
PC19,0.021429286391454836,0.8073920339072053
PC20,0.019926835512496407,0.8273188694197017
PC21,0.01802180857876637,0.845340677998468
PC22,0.016201944136736406,0.8615426221352044
