feature,vif
Frequency,4.713978179659312
UniqueProducts,3.3723284730686784
FirstPurchaseDaysAgo,2.8979543187479293
CustomerTenureDays,2.45153111328305
NegativeQuantityCount,2.3585379611368573
AvgBasketValue,2.345197174334823
RegYear,2.344920038147184
AvgProductsPerTransaction,2.108828366594442
MonetaryTotal,1.9918572065604592
MonetaryAvg,1.9026668171637136
WeekendPurchaseRatio,1.8500554820616397
PreferredDayOfWeek,1.814582159261758
RegMonth,1.3884568822382146
AvgQuantityPerTransaction,1.375910219502795
PreferredMonth,1.3245773286782725
ReturnRatio,1.2678292555003654
AvgDaysBetweenPurchases,1.191756872360621
IpFirstOctet,1.171993031680398
IsPrivateIP,1.1679301475125594
ZeroPriceCount,1.10850368283108
PreferredHour,1.0489980480866603
RegDay,1.0367614309209796
MonetaryStd,1.0190970660140137
SatisfactionScore,1.0102425254064196
RegWeekday,1.0098574316890374
SupportTicketsCount,1.0092318768325186
UniqueCountries,1.0092087206747982
Age,1.006975242494949
